LE39 ACIDO 0h 1.csv;;FTECNICA2-PC\UFC;07/11/2019 15:42:27;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;-0,1224
201;-0,1187
202;-0,0839
203;-0,0548
204;-0,0368
205;-0,014
206;-0,0033
207;0,0049
208;0,0094
209;0,0134
210;0,0152
211;0,0164
212;0,0174
213;0,0177
214;0,0178
215;0,017
216;0,0169
217;0,0156
218;0,0158
219;0,0148
220;0,0138
221;0,0127
222;0,0115
223;0,0104
224;0,0097
225;0,0084
226;0,007
227;0,0052
228;0,0049
229;0,0049
230;0,0046
231;0,0037
232;0,0029
233;0,0035
234;0,004
235;0,0035
236;0,0035
237;0,0037
238;0,0037
239;0,0032
240;0,0035
241;0,0043
242;0,0035
243;0,0043
244;0,0047
245;0,0051
246;0,0045
247;0,005
248;0,0054
249;0,0054
250;0,0052
251;0,0052
252;0,0052
253;0,0052
254;0,005
255;0,005
256;0,0052
257;0,0059
258;0,0051
259;0,0054
260;0,0057
261;0,0054
262;0,005
263;0,0055
264;0,0054
265;0,005
266;0,0052
267;0,005
268;0,0049
269;0,0044
270;0,0037
271;0,0041
272;0,0043
273;0,0038
274;0,0037
275;0,0032
276;0,0029
277;0,0027
278;0,0023
279;0,003
280;0,0026
281;0,0025
282;0,0019
283;0,0017
284;0,0018
285;0,002
286;0,0016
287;0,0023
288;0,0019
289;0,0006
290;0,0018
291;0,0005
292;0,0018
293;0,0015
294;0,0013
295;0,001
296;0,0002
297;0,0009
298;0,0005
299;-0,0004
300;0,0004
301;0,0004
302;0,0005
303;0,0001
304;0,0006
305;0,0003
306;0,0006
307;0,0008
308;0,0005
309;0,0003
310;-0,0002
311;0,0003
312;0,0002
313;0,0007
314;0,001
315;0,0001
316;0,0004
317;0,0008
318;0,0006
319;0
320;0,0003
321;0,0003
322;0,0007
323;0,0007
324;0,0001
325;0,0007
326;0,0003
327;0,0007
328;0,0011
329;0,0017
330;0,0013
331;0,0002
332;0,0004
333;0,0002
334;0,0017
335;0,0019
336;0,0005
337;0,0003
338;0,0005
339;0,0007
340;0,0005
341;0,0015
342;0,0003
343;0,0009
344;0,0013
345;0,0005
346;0,0012
347;0,0017
348;0,0009
349;0,0014
350;0,0008
351;0,0005
352;0,0018
353;0,0012
354;0,0016
355;0,0005
356;0,0019
357;-0,0007
358;0,0019
359;0,0024
360;0,0009
361;-0,0005
362;0,0003
363;0,0024
364;0,0009
365;-0,0012
366;0,0015
367;0,0004
368;0,001
369;0,0012
370;0,0011
371;0,0016
372;0,0004
373;0,0009
374;-0,0001
375;-0,0004
376;0,001
377;0,0003
378;0,0012
379;0,0006
380;0,001
381;0,001
382;0,0014
383;0,0012
384;0,0009
385;0,0015
386;0,0009
387;0,0006
388;0,0028
389;-0,0002
390;0,0026
391;0,0024
392;0,0008
393;0,0015
394;0,0029
395;0,0018
396;0,002
397;0,0027
398;0,0008
399;0,0015
400;0,0015
