LE39 ACIDO 1.5h 2.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:43;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,0075
201;0,033
202;0,0477
203;0,0707
204;0,0791
205;0,0789
206;0,0782
207;0,0766
208;0,0713
209;0,0678
210;0,0639
211;0,059
212;0,0555
213;0,0529
214;0,0488
215;0,0467
216;0,0439
217;0,0405
218;0,0396
219;0,0381
220;0,0365
221;0,0348
222;0,0329
223;0,0315
224;0,0312
225;0,0293
226;0,0278
227;0,026
228;0,0256
229;0,0244
230;0,0238
231;0,0226
232;0,0225
233;0,022
234;0,0215
235;0,0207
236;0,0203
237;0,0202
238;0,0194
239;0,0195
240;0,0189
241;0,019
242;0,0184
243;0,0184
244;0,018
245;0,0189
246;0,0176
247;0,0178
248;0,0176
249;0,0172
250;0,017
251;0,0168
252;0,0165
253;0,0167
254;0,0158
255;0,0163
256;0,0165
257;0,0159
258;0,0154
259;0,0156
260;0,0158
261;0,016
262;0,0153
263;0,0155
264;0,0152
265;0,0153
266;0,0151
267;0,0146
268;0,0142
269;0,0141
270;0,0128
271;0,0134
272;0,0131
273;0,0137
274;0,0128
275;0,012
276;0,0122
277;0,0118
278;0,0116
279;0,0117
280;0,0115
281;0,0109
282;0,0105
283;0,0106
284;0,0102
285;0,011
286;0,0106
287;0,0106
288;0,0088
289;0,009
290;0,0096
291;0,0095
292;0,0099
293;0,0093
294;0,0096
295;0,0089
296;0,0091
297;0,0093
298;0,0083
299;0,0082
300;0,0087
301;0,009
302;0,0085
303;0,0086
304;0,0083
305;0,0082
306;0,0087
307;0,0083
308;0,0084
309;0,0077
310;0,0082
311;0,0089
312;0,0086
313;0,0089
314;0,0091
315;0,0082
316;0,009
317;0,0085
318;0,0088
319;0,0086
320;0,0084
321;0,0086
322;0,0092
323;0,0089
324;0,0091
325;0,0102
326;0,009
327;0,0089
328;0,0106
329;0,0109
330;0,01
331;0,0097
332;0,0098
333;0,0109
334;0,0116
335;0,0119
336;0,0109
337;0,0108
338;0,0112
339;0,0124
340;0,0118
341;0,0117
342;0,012
343;0,0118
344;0,0118
345;0,0121
346;0,0126
347;0,0136
348;0,0126
349;0,0127
350;0,0128
351;0,0126
352;0,0137
353;0,0149
354;0,0143
355;0,013
356;0,0144
357;0,0128
358;0,0142
359;0,0161
360;0,0121
361;0,0131
362;0,0132
363;0,0156
364;0,0148
365;0,0125
366;0,0135
367;0,0133
368;0,0142
369;0,0143
370;0,0142
371;0,0148
372;0,014
373;0,0155
374;0,0132
375;0,0153
376;0,0149
377;0,0135
378;0,0147
379;0,0151
380;0,0148
381;0,0145
382;0,0155
383;0,0145
384;0,0159
385;0,0162
386;0,0152
387;0,0161
388;0,0172
389;0,0148
390;0,0173
391;0,0168
392;0,0152
393;0,0159
394;0,0173
395;0,0159
396;0,0162
397;0,0179
398;0,0149
399;0,016
400;0,0144
