LE39 ACIDO 2dia 1.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:59;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,1863
201;0,2925
202;0,3327
203;0,347
204;0,3342
205;0,3318
206;0,316
207;0,299
208;0,281
209;0,2659
210;0,2503
211;0,2332
212;0,22
213;0,2059
214;0,1932
215;0,1819
216;0,1701
217;0,1589
218;0,1502
219;0,1422
220;0,1342
221;0,1269
222;0,12
223;0,1136
224;0,1082
225;0,1017
226;0,0956
227;0,0896
228;0,0845
229;0,0817
230;0,0796
231;0,0752
232;0,073
233;0,0703
234;0,0682
235;0,066
236;0,064
237;0,0626
238;0,0605
239;0,0581
240;0,0555
241;0,0539
242;0,0524
243;0,0518
244;0,0511
245;0,0501
246;0,0468
247;0,0465
248;0,0455
249;0,0445
250;0,0429
251;0,0414
252;0,0407
253;0,0395
254;0,0397
255;0,0388
256;0,0374
257;0,0375
258;0,0357
259;0,0357
260;0,0363
261;0,0361
262;0,0356
263;0,0349
264;0,0332
265;0,0333
266;0,0332
267;0,0326
268;0,0315
269;0,0309
270;0,0291
271;0,0289
272;0,0286
273;0,0287
274;0,0276
275;0,0263
276;0,0255
277;0,0252
278;0,0241
279;0,0242
280;0,0228
281;0,0233
282;0,0225
283;0,0226
284;0,0221
285;0,0223
286;0,0214
287;0,0219
288;0,0217
289;0,02
290;0,0206
291;0,0201
292;0,0207
293;0,0193
294;0,0193
295;0,0188
296;0,019
297;0,019
298;0,0182
299;0,0187
300;0,0183
301;0,018
302;0,0181
303;0,0187
304;0,0189
305;0,0186
306;0,0189
307;0,0185
308;0,0179
309;0,0179
310;0,0179
311;0,0189
312;0,019
313;0,019
314;0,019
315;0,0182
316;0,0194
317;0,0192
318;0,0191
319;0,0187
320;0,0192
321;0,02
322;0,0205
323;0,0201
324;0,0203
325;0,0212
326;0,0205
327;0,0217
328;0,0224
329;0,0229
330;0,0235
331;0,0239
332;0,0238
333;0,024
334;0,0252
335;0,0254
336;0,0245
337;0,0254
338;0,0258
339;0,0275
340;0,0264
341;0,0282
342;0,0284
343;0,0283
344;0,029
345;0,029
346;0,0309
347;0,0313
348;0,0319
349;0,0318
350;0,0324
351;0,033
352;0,0341
353;0,0342
354;0,0341
355;0,035
356;0,0357
357;0,0343
358;0,0373
359;0,0378
360;0,0352
361;0,0364
362;0,038
363;0,0404
364;0,0396
365;0,0386
366;0,0405
367;0,04
368;0,0409
369;0,0408
370;0,0413
371;0,0417
372;0,0426
373;0,0421
374;0,0411
375;0,0433
376;0,0434
377;0,0429
378;0,0429
379;0,0441
380;0,0448
381;0,0444
382;0,0445
383;0,0444
384;0,0455
385;0,0458
386;0,0453
387;0,0445
388;0,0463
389;0,0437
390;0,045
391;0,045
392;0,0447
393;0,0434
394;0,0448
395;0,0448
396;0,0435
397;0,0438
398;0,0424
399;0,0425
400;0,0421
