LE39 ACIDO 30min 1.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:39;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,0282
201;0,0368
202;0,0563
203;0,0677
204;0,0763
205;0,0817
206;0,0789
207;0,0799
208;0,0765
209;0,0751
210;0,0724
211;0,0691
212;0,0659
213;0,0627
214;0,0593
215;0,0558
216;0,0509
217;0,0479
218;0,0447
219;0,0414
220;0,0375
221;0,0339
222;0,0312
223;0,0275
224;0,0255
225;0,0229
226;0,0201
227;0,0171
228;0,0158
229;0,0143
230;0,0135
231;0,0121
232;0,0116
233;0,0103
234;0,0103
235;0,0095
236;0,0096
237;0,0093
238;0,0089
239;0,0088
240;0,0091
241;0,0087
242;0,0085
243;0,0082
244;0,0081
245;0,0092
246;0,0082
247;0,0086
248;0,0089
249;0,0086
250;0,0087
251;0,0083
252;0,0091
253;0,0085
254;0,0086
255;0,0083
256;0,0085
257;0,009
258;0,0084
259;0,0079
260;0,0087
261;0,0081
262;0,0088
263;0,0083
264;0,0074
265;0,0082
266;0,0088
267;0,008
268;0,0081
269;0,0069
270;0,0075
271;0,0074
272;0,0072
273;0,0067
274;0,0063
275;0,0058
276;0,0066
277;0,0062
278;0,0061
279;0,0064
280;0,0055
281;0,0053
282;0,0047
283;0,0048
284;0,0052
285;0,0051
286;0,0048
287;0,005
288;0,0049
289;0,004
290;0,0047
291;0,0038
292;0,0048
293;0,0045
294;0,0044
295;0,0034
296;0,0033
297;0,0034
298;0,0034
299;0,0032
300;0,0026
301;0,0028
302;0,0034
303;0,003
304;0,0038
305;0,0034
306;0,004
307;0,0031
308;0,0029
309;0,0031
310;0,0026
311;0,0034
312;0,0033
313;0,0035
314;0,0041
315;0,0033
316;0,004
317;0,0036
318;0,003
319;0,0032
320;0,0035
321;0,0034
322;0,0043
323;0,0035
324;0,0032
325;0,0047
326;0,0033
327;0,0037
328;0,0051
329;0,0044
330;0,0048
331;0,0044
332;0,0042
333;0,0045
334;0,0055
335;0,0053
336;0,0043
337;0,0037
338;0,0045
339;0,0052
340;0,0042
341;0,0051
342;0,005
343;0,0043
344;0,0049
345;0,004
346;0,0051
347;0,0047
348;0,0054
349;0,0053
350;0,0057
351;0,0055
352;0,0053
353;0,0054
354;0,0053
355;0,0054
356;0,0066
357;0,0054
358;0,0064
359;0,0068
360;0,0053
361;0,0056
362;0,0057
363;0,0077
364;0,0058
365;0,0051
366;0,0057
367;0,005
368;0,0063
369;0,0063
370;0,0064
371;0,0048
372;0,006
373;0,0058
374;0,0049
375;0,0066
376;0,0058
377;0,0055
378;0,006
379;0,0055
380;0,0065
381;0,0053
382;0,0053
383;0,0056
384;0,007
385;0,0071
386;0,005
387;0,0051
388;0,0065
389;0,0053
390;0,0065
391;0,0064
392;0,0054
393;0,006
394;0,0067
395;0,0059
396;0,0061
397;0,0075
398;0,0047
399;0,0058
400;0,0057
