LE39 curva 1.0 3.csv;;FTECNICA2-PC\UFC;07/11/2019 18:21:33;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;-0,0418
201;-0,09
202;-0,1821
203;-0,2606
204;-0,3451
205;-0,4327
206;-0,4685
207;-0,4359
208;-0,3725
209;-0,2994
210;-0,2243
211;-0,1436
212;-0,0856
213;-0,0285
214;0,0028
215;0,0283
216;0,0437
217;0,0517
218;0,0554
219;0,0564
220;0,0555
221;0,0537
222;0,0517
223;0,0483
224;0,0454
225;0,0416
226;0,0387
227;0,0352
228;0,0326
229;0,0308
230;0,0285
231;0,0265
232;0,0245
233;0,0234
234;0,0229
235;0,0219
236;0,0224
237;0,022
238;0,0223
239;0,023
240;0,0237
241;0,0247
242;0,0249
243;0,0258
244;0,0257
245;0,0279
246;0,0293
247;0,0299
248;0,0308
249;0,0315
250;0,0325
251;0,0332
252;0,0343
253;0,035
254;0,0357
255;0,0363
256;0,0359
257;0,0346
258;0,0343
259;0,0335
260;0,034
261;0,0332
262;0,0323
263;0,0321
264;0,0313
265;0,0308
266;0,0299
267;0,0288
268;0,0276
269;0,0262
270;0,0245
271;0,0236
272;0,0224
273;0,0213
274;0,0206
275;0,0205
276;0,0196
277;0,0187
278;0,0189
279;0,0185
280;0,0181
281;0,0176
282;0,018
283;0,0174
284;0,0168
285;0,0162
286;0,0159
287;0,0156
288;0,0145
289;0,0137
290;0,0139
291;0,0131
292;0,0132
293;0,0123
294;0,0124
295;0,0117
296;0,0112
297;0,0107
298;0,0099
299;0,0101
300;0,0092
301;0,0102
302;0,0098
303;0,0096
304;0,0102
305;0,0102
306;0,0088
307;0,0102
308;0,0102
309;0,0099
310;0,0099
311;0,0101
312;0,0101
313;0,0103
314;0,0101
315;0,0108
316;0,0113
317;0,0111
318;0,0112
319;0,012
320;0,0116
321;0,0121
322;0,012
323;0,0135
324;0,0128
325;0,0141
326;0,014
327;0,0136
328;0,0144
329;0,0134
330;0,0154
331;0,0155
332;0,0154
333;0,0163
334;0,0174
335;0,0165
336;0,0169
337;0,018
338;0,0174
339;0,0178
340;0,0178
341;0,019
342;0,0194
343;0,0201
344;0,0199
345;0,0217
346;0,0215
347;0,0211
348;0,0223
349;0,0216
350;0,022
351;0,0225
352;0,0237
353;0,0247
354;0,0245
355;0,0263
356;0,0256
357;0,0245
358;0,0266
359;0,0269
360;0,0249
361;0,0268
362;0,0281
363;0,0266
364;0,0295
365;0,029
366;0,0283
367;0,0285
368;0,0289
369;0,0293
370;0,0303
371;0,0297
372;0,0298
373;0,0293
374;0,0293
375;0,0289
376;0,0308
377;0,031
378;0,0301
379;0,0271
380;0,0286
381;0,0285
382;0,0296
383;0,0299
384;0,0281
385;0,0265
386;0,0283
387;0,0264
388;0,0273
389;0,0258
390;0,0247
391;0,0255
392;0,0246
393;0,0234
394;0,024
395;0,0215
396;0,0217
397;0,0214
398;0,0202
399;0,0193
400;0,0182
