amônia.csv;;FTECNICA2-PC\UFC;07/08/2019 10:11:26;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;-0,0214
201;-0,0197
202;-0,0852
203;-0,0205
204;-0,0401
205;-0,0167
206;0,0191
207;-0,0279
208;0,0425
209;-0,0201
210;0,0427
211;-0,0288
212;-0,0385
213;0,0145
214;-0,0146
215;0,0275
216;0,0332
217;0,0287
218;-0,0177
219;0,0065
220;0,0124
221;-0,0077
222;-0,0255
223;0,026
224;-0,0364
225;-0,0054
226;-0,0165
227;0,0042
228;0,0007
229;-0,0012
230;0,0136
231;-0,0051
232;0,0317
233;-0,0143
234;-0,0035
235;0,0147
236;-0,0006
237;0,0284
238;0,0089
239;0,0051
240;-0,014
241;0,0092
242;0,0068
243;-0,0008
244;0,0105
245;-0,0076
246;-0,0013
247;-0,0019
248;-0,0116
249;-0,0015
250;0,0117
251;-0,0047
252;-0,0118
253;0,0086
254;0,0317
255;0,0095
256;0,0199
257;0,0032
258;0,0119
259;0,0129
260;0,023
261;-0,0096
262;-0,0024
263;0,0139
264;0,0158
265;0,0207
266;0,0482
267;-0,0005
268;0,0004
269;-0,0173
270;0,0093
271;-0,01
272;-0,002
273;-0,0084
274;-0,0093
275;0,0035
276;0,0105
277;-0,0198
278;0,0598
279;0,0123
280;0,0748
281;0,0212
282;0,0431
283;0,0117
284;-0,0204
285;0,0015
286;0,0075
287;-0,0104
288;-0,0222
289;0,009
290;-0,01
291;0,039
292;-0,0118
293;-0,01
294;0,0001
295;0,0032
296;-0,023
297;-0,0048
298;0,0375
299;0,009
300;0,0141
301;0,0043
302;-0,0063
303;0,0016
304;0,0339
305;0,0095
306;0,0381
307;-0,0141
308;0,0329
309;-0,0085
310;-0,0131
311;0,0157
312;0,0175
313;-0,0027
314;-0,0071
315;0,0006
316;-0,0004
317;0,0221
318;0,0387
319;-0,0071
320;-0,0009
321;0,0001
322;0,0135
323;0,0144
324;0,001
325;-0,0249
326;-0,0077
327;0,0013
328;0,014
329;0,0034
330;-0,0175
331;-0,0042
332;0,0014
333;0,0148
334;0,0071
335;-0,0015
336;-0,0079
337;0,0224
338;0,0085
339;-0,0008
340;0,0017
341;0,0239
342;0,005
343;0,0448
344;-0,0037
345;0,0555
346;0,0021
347;0,0176
348;0,0013
349;-0,0248
350;0,0214
351;-0,0133
352;-0,0038
353;0,0047
354;-0,0047
355;-0,0091
356;-0,0095
