nitrato.csv;;FTECNICA2-PC\UFC;07/08/2019 10:11:25;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;1,773
201;1,931
202;2,0569
203;2,1628
204;2,2056
205;2,2295
206;2,273
207;2,2631
208;2,2243
209;2,2014
210;2,1842
211;2,1553
212;2,1158
213;2,0439
214;1,9754
215;1,8936
216;1,7593
217;1,6229
218;1,4802
219;1,3304
220;1,179
221;1,03
222;0,8902
223;0,7567
224;0,6347
225;0,5121
226;0,4057
227;0,3025
228;0,2198
229;0,1749
230;0,1465
231;0,0964
232;0,0347
233;-0,0054
234;-0,0508
235;-0,0699
236;-0,0956
237;-0,1129
238;-0,1244
239;-0,1418
240;-0,1579
241;-0,1746
242;-0,1751
243;-0,1554
244;-0,1542
245;-0,1728
246;-0,1956
247;-0,1858
248;-0,165
249;-0,1591
250;-0,1676
251;-0,1832
252;-0,1826
253;-0,1695
254;-0,1769
255;-0,1834
256;-0,1937
257;-0,1923
258;-0,2002
259;-0,1987
260;-0,1786
261;-0,1603
262;-0,1712
263;-0,179
264;-0,1771
265;-0,1902
266;-0,1938
267;-0,184
268;-0,1828
269;-0,1869
270;-0,1938
271;-0,1876
272;-0,1751
273;-0,1772
274;-0,1787
275;-0,1901
276;-0,1898
277;-0,1809
278;-0,1819
279;-0,1902
280;-0,1886
281;-0,2
282;-0,1834
283;-0,1818
284;-0,1842
285;-0,1773
286;-0,1812
287;-0,1711
288;-0,1694
289;-0,1821
290;-0,1854
291;-0,1811
292;-0,1779
293;-0,1926
294;-0,1808
295;-0,1784
296;-0,1869
297;-0,1818
298;-0,1705
299;-0,1714
300;-0,1678
301;-0,1682
302;-0,1713
303;-0,1615
304;-0,1674
305;-0,1641
306;-0,1657
307;-0,1689
308;-0,1592
309;-0,1694
310;-0,164
311;-0,1575
312;-0,1612
313;-0,1608
314;-0,1626
315;-0,1708
316;-0,1603
317;-0,1584
318;-0,1637
319;-0,1672
320;-0,16
321;-0,159
322;-0,1671
323;-0,1718
324;-0,1678
325;-0,162
326;-0,165
327;-0,1559
328;-0,1585
329;-0,1622
330;-0,1658
331;-0,1597
332;-0,1597
333;-0,161
334;-0,1566
335;-0,1632
336;-0,1546
337;-0,1515
338;-0,1638
339;-0,1621
340;-0,1539
341;-0,1616
342;-0,1622
343;-0,1636
344;-0,1673
