nitrito.csv;;FTECNICA2-PC\UFC;07/08/2019 10:11:23;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;-0,0114
201;-0,052
202;-0,0277
203;-0,0719
204;-0,0946
205;-0,1038
206;-0,1095
207;-0,1102
208;-0,0996
209;-0,1504
210;-0,1686
211;-0,1421
212;-0,1534
213;-0,2004
214;-0,184
215;-0,2165
216;-0,2254
217;-0,2095
218;-0,2713
219;-0,2885
220;-0,2964
221;-0,3149
222;-0,3177
223;-0,3338
224;-0,3419
225;-0,3619
226;-0,364
227;-0,3672
228;-0,3766
229;-0,4231
230;-0,4238
231;-0,4053
232;-0,42
233;-0,3941
234;-0,399
235;-0,3931
236;-0,401
237;-0,4019
238;-0,4137
239;-0,3935
240;-0,3846
241;-0,3973
242;-0,4238
243;-0,4405
244;-0,4433
245;-0,4088
246;-0,3925
247;-0,4208
248;-0,4643
249;-0,4554
250;-0,4511
251;-0,4154
252;-0,4537
253;-0,4606
254;-0,4525
255;-0,4517
256;-0,445
257;-0,4446
258;-0,4353
259;-0,4343
260;-0,4837
261;-0,4939
262;-0,4625
263;-0,4526
264;-0,4446
265;-0,4394
266;-0,4464
267;-0,4711
268;-0,4428
269;-0,4555
270;-0,4417
271;-0,4461
272;-0,4709
273;-0,4628
274;-0,4688
275;-0,4587
276;-0,4459
277;-0,4684
278;-0,4825
279;-0,441
280;-0,4584
281;-0,4419
282;-0,4746
283;-0,4794
284;-0,4473
285;-0,4358
286;-0,4505
287;-0,446
288;-0,438
289;-0,3697
290;-0,4027
291;-0,3764
292;-0,337
293;-0,2777
294;-0,2839
295;-0,2276
296;-0,1983
297;-0,1629
298;-0,1277
299;-0,0934
300;-0,0664
301;-0,0353
302;-0,0146
303;0,0112
304;0,0273
305;0,0389
306;0,053
307;0,0626
308;0,0682
309;0,0747
310;0,0827
311;0,0838
312;0,0887
313;0,0899
314;0,0917
315;0,095
316;0,0937
317;0,0934
318;0,0931
319;0,0937
320;0,0938
321;0,0931
322;0,0916
323;0,0913
324;0,0932
325;0,0916
326;0,0909
327;0,0918
328;0,0917
329;0,0922
330;0,0946
331;0,0957
332;0,0993
333;0,1049
334;0,1059
335;0,1096
336;0,1136
337;0,1183
338;0,1227
339;0,1246
340;0,1281
341;0,1342
342;0,1346
343;0,1353
344;0,1411
345;0,1474
346;0,1423
347;0,1465
348;0,1465
349;0,1479
350;0,1555
351;0,1515
352;0,1502
353;0,1627
354;0,1574
355;0,157
356;0,1466
357;0,166
358;0,1645
359;0,1488
360;0,149
361;0,1653
362;0,1689
