sulfato.csv;;FTECNICA2-PC\UFC;07/08/2019 10:11:29;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,4777
201;0,9306
202;1,4199
203;1,7585
204;2,0296
205;2,205
206;2,2963
207;2,3607
208;2,3542
209;2,3665
210;2,3663
211;2,3341
212;2,2968
213;2,2132
214;2,142
215;2,0747
216;1,9161
217;1,7772
218;1,6333
219;1,4808
220;1,3404
221;1,1914
222;1,0581
223;0,9217
224;0,8051
225;0,6907
226;0,5862
227;0,4927
228;0,4095
229;0,3486
230;0,3031
231;0,2508
232;0,2034
233;0,1651
234;0,1318
235;0,1055
236;0,083
237;0,0678
238;0,0506
239;0,0378
240;0,0265
241;0,0183
242;0,0111
243;0,0075
244;0,0033
245;-0,0016
246;-0,0072
247;-0,0082
248;-0,0089
249;-0,0096
250;-0,0118
251;-0,0135
252;-0,0161
253;-0,0175
254;-0,0185
255;-0,0171
256;-0,0193
257;-0,0212
258;-0,0216
259;-0,0217
260;-0,0203
261;-0,0194
262;-0,0205
263;-0,0212
264;-0,0216
265;-0,0223
266;-0,023
267;-0,0218
268;-0,0216
269;-0,0222
270;-0,0213
271;-0,0227
272;-0,0225
273;-0,0209
274;-0,0224
275;-0,0193
276;-0,0204
277;-0,0194
278;-0,0199
279;-0,0195
280;-0,0213
281;-0,0188
282;-0,0198
283;-0,0169
284;-0,0175
285;-0,0165
286;-0,0159
287;-0,0153
288;-0,0135
289;-0,0145
290;-0,0149
291;-0,0127
292;-0,0106
293;-0,0117
294;-0,0132
295;-0,0108
296;-0,0118
297;-0,0111
298;-0,0112
299;-0,0092
300;-0,0089
301;-0,0084
302;-0,0093
303;-0,0093
304;-0,0089
305;-0,0081
306;-0,01
307;-0,0079
308;-0,0088
309;-0,0098
310;-0,0104
311;-0,0087
312;-0,0085
313;-0,0077
314;-0,0093
315;-0,0098
316;-0,0078
317;-0,0094
318;-0,0088
319;-0,0092
320;-0,0111
321;-0,0103
322;-0,0113
323;-0,0112
324;-0,0105
325;-0,0093
326;-0,0102
327;-0,0089
328;-0,0093
329;-0,0128
330;-0,0101
331;-0,0093
332;-0,0102
333;-0,0132
334;-0,0097
335;-0,0115
336;-0,0089
337;-0,0094
338;-0,0115
339;-0,0098
340;-0,0093
341;-0,0111
342;-0,0098
343;-0,0114
344;-0,0095
345;-0,0087
346;-0,0103
347;-0,0094
348;-0,0093
349;-0,0089
350;-0,0113
351;-0,0094
352;-0,0099
353;-0,0096
354;-0,0105
355;-0,0125
356;-0,0127
357;-0,0115
358;-0,0103
359;-0,0103
360;-0,0095
361;-0,0074
362;-0,0085
363;-0,0111
364;-0,0097
365;-0,0093
366;-0,0109
367;-0,0105
368;-0,0089
369;-0,0089
370;-0,0125
371;-0,0092
372;-0,0082
373;-0,01
374;-0,01
375;-0,0108
376;-0,0101
377;-0,0092
378;-0,0084
379;-0,0084
380;-0,0082
381;-0,01
382;-0,0107
383;-0,0088
384;-0,01
385;-0,0087
386;-0,0098
387;-0,009
388;-0,009
389;-0,0119
390;-0,0104
391;-0,0081
392;-0,0102
393;-0,0087
394;-0,01
395;-0,008
396;-0,0102
397;-0,0083
398;-0,0081
399;-0,0094
400;-0,009
401;-0,0096
402;-0,0091
403;-0,0082
404;-0,0093
405;-0,0073
406;-0,0067
407;-0,0087
408;-0,0089
409;-0,0092
410;-0,0087
411;-0,0098
412;-0,0083
413;-0,0095
414;-0,0099
415;-0,0079
416;-0,0082
417;-0,0109
418;-0,0092
419;-0,0076
420;-0,0078
421;-0,0086
422;-0,0078
423;-0,0085
424;-0,0081
425;-0,0072
426;-0,0084
427;-0,0085
428;-0,008
429;-0,0093
430;-0,0075
431;-0,0069
432;-0,0085
433;-0,0081
434;-0,0073
435;-0,0093
436;-0,0073
437;-0,0059
438;-0,0071
439;-0,0078
440;-0,0068
441;-0,0067
442;-0,0073
443;-0,0084
444;-0,0071
445;-0,0063
446;-0,0064
447;-0,01
448;-0,0092
449;-0,0062
450;-0,0087
451;-0,0073
452;-0,01
453;-0,0072
454;-0,0092
455;-0,0075
456;-0,0077
457;-0,0094
458;-0,0065
459;-0,0077
460;-0,0082
461;-0,0073
462;-0,0066
463;-0,0093
464;-0,0073
465;-0,0085
466;-0,0067
467;-0,0066
468;-0,0081
469;-0,01
470;-0,0074
471;-0,0063
472;-0,0094
473;-0,0079
474;-0,0061
475;-0,007
476;-0,0074
477;-0,0069
478;-0,0064
479;-0,0095
480;-0,0068
481;-0,0069
482;-0,006
483;-0,006
484;-0,0053
485;-0,007
486;-0,0078
487;-0,0063
488;-0,0073
489;-0,0082
490;-0,0057
491;-0,0063
492;-0,0066
493;-0,0077
494;-0,0069
495;-0,0073
496;-0,0065
497;-0,0062
498;-0,0061
499;-0,0069
500;-0,0063
501;-0,0064
502;-0,006
503;-0,0061
504;-0,0065
505;-0,0073
506;-0,0061
507;-0,0072
508;-0,0052
509;-0,0078
510;-0,0094
511;-0,0062
512;-0,0073
513;-0,007
514;-0,0082
515;-0,0068
516;-0,0071
517;-0,0084
518;-0,0075
519;-0,0066
520;-0,0081
521;-0,0082
522;-0,0079
523;-0,0061
524;-0,0092
525;-0,0077
526;-0,0065
527;-0,0052
528;-0,007
529;-0,0063
530;-0,0078
531;-0,0066
532;-0,007
533;-0,0066
534;-0,0108
535;-0,0058
536;-0,0068
537;-0,0077
538;-0,0074
539;-0,0064
540;-0,0076
541;-0,007
542;-0,0064
543;-0,0065
544;-0,0059
545;-0,0061
546;-0,0062
547;-0,0076
548;-0,0066
549;-0,0054
550;-0,008
551;-0,0046
552;-0,0052
553;-0,0055
554;-0,0044
555;-0,0072
556;-0,0051
557;-0,0067
558;-0,0051
559;-0,0058
560;-0,0061
561;-0,0058
562;-0,0057
563;-0,0063
564;-0,0061
565;-0,0052
566;-0,0049
567;-0,005
568;-0,0077
569;-0,0048
570;-0,0068
571;-0,0067
572;-0,0054
573;-0,0052
574;-0,0058
575;-0,0066
576;-0,0057
577;-0,0057
578;-0,0056
579;-0,005
580;-0,0072
581;-0,0055
582;-0,0051
583;-0,0059
584;-0,0043
585;-0,0044
586;-0,0051
587;-0,0056
588;-0,0059
589;-0,0072
590;-0,0056
591;-0,0039
592;-0,0061
593;-0,0057
594;-0,0069
595;-0,005
596;-0,0047
597;-0,0082
598;-0,0083
599;-0,0047
600;-0,0057
601;-0,0055
602;-0,0067
603;-0,0061
604;-0,008
605;-0,005
606;-0,0059
607;-0,0052
608;-0,0046
609;-0,0055
610;-0,0068
611;-0,0065
612;-0,0056
613;-0,0064
614;-0,0062
615;-0,0048
616;-0,0057
617;-0,0047
618;-0,005
619;-0,0063
620;-0,0072
621;-0,0048
622;-0,0062
623;-0,0059
624;-0,0075
625;-0,0049
626;-0,006
627;-0,0039
628;-0,0064
629;-0,0074
630;-0,007
631;-0,0059
632;-0,0054
633;-0,005
634;-0,0068
635;-0,0053
636;-0,0077
637;-0,0062
638;-0,0045
639;-0,0051
640;-0,0048
641;-0,0064
642;-0,0034
643;-0,0053
644;-0,008
645;-0,006
646;-0,0066
647;-0,0067
648;-0,0051
649;-0,0021
650;-0,0041
651;-0,0084
652;-0,0053
653;-0,0059
654;-0,0046
655;-0,0054
656;-0,0079
657;-0,0043
658;-0,0032
659;-0,0067
660;-0,0053
661;-0,0057
662;-0,0035
663;-0,0087
664;-0,0054
665;-0,0054
666;-0,0045
667;-0,0053
668;-0,0049
669;-0,0052
670;-0,0079
671;-0,0065
672;-0,0091
673;-0,0064
674;-0,0082
675;-0,0034
676;-0,0063
677;-0,008
678;-0,004
679;-0,0048
680;-0,0048
681;-0,0047
682;-0,0044
683;-0,005
684;-0,0042
685;-0,0095
686;-0,0036
687;-0,005
688;-0,0077
689;-0,0074
690;-0,0072
691;-0,0085
692;-0,0063
693;-0,0059
694;-0,0044
695;-0,0039
696;-0,0041
697;-0,0082
698;-0,0062
699;-0,01
700;-0,0043
701;-0,0042
702;-0,0043
703;-0,0036
704;-0,0033
705;-0,0057
706;-0,0048
707;-0,0066
708;-0,006
709;-0,0054
710;-0,0051
711;-0,0043
712;-0,0044
713;-0,0093
714;-0,0048
715;-0,0044
716;-0,0054
717;-0,0043
718;-0,0052
719;-0,0032
720;-0,0033
721;-0,0038
722;-0,0057
723;-0,0089
724;-0,0053
725;-0,0062
726;-0,0057
727;-0,0052
728;-0,0063
729;-0,0064
730;-0,0055
731;-0,0088
732;-0,0041
733;-0,0068
734;-0,0098
735;-0,0048
736;-0,0012
737;-0,003
738;-0,0047
739;-0,0045
740;-0,0043
741;-0,0035
742;-0,0061
743;-0,0034
744;-0,0077
745;-0,006
746;-0,0031
747;-0,0095
748;-0,0052
749;-0,003
750;-0,0052
751;-0,002
752;-0,0044
753;-0,0042
754;-0,0059
755;-0,0054
756;-0,0061
757;-0,0043
758;-0,0057
759;-0,0054
760;-0,0073
761;-0,0056
762;-0,0063
763;-0,0058
764;-0,0023
765;-0,0074
766;-0,0035
767;-0,0044
768;-0,0072
769;-0,0065
770;-0,0046
771;-0,0045
772;-0,0051
773;-0,0037
774;-0,0043
775;-0,0068
776;-0,0049
777;-0,0035
778;-0,0042
779;-0,0063
780;-0,0063
781;-0,0039
782;-0,0034
783;-0,0058
784;-0,0055
785;-0,0039
786;-0,0041
787;-0,004
788;-0,0053
789;-0,005
790;-0,0052
791;-0,0055
792;-0,0036
793;-0,0041
794;-0,0034
795;-0,0047
796;-0,0038
797;-0,0053
798;-0,0062
799;-0,003
800;-0,0028
